care,pn,bp,poc,disease,metric,year,value
high,baseline,high,True,ng,prevalence,2038,0.006449951594475836
high,baseline,high,True,ng,prevalence,2039,0.006524707285781871
high,baseline,high,True,ng,prevalence,2040,0.0073153368833091025
high,baseline,low,True,ng,prevalence,2027,0.01559364929903373
high,baseline,low,True,ng,prevalence,2028,0.013171684022868623
high,baseline,low,True,ng,prevalence,2029,0.012974528693560791
high,baseline,low,True,ng,prevalence,2030,0.012635087064647185
high,baseline,low,True,ng,prevalence,2031,0.01169911657648017
high,baseline,low,True,ng,prevalence,2032,0.012603075217880507
high,baseline,low,True,ng,prevalence,2033,0.011064854923885696
high,baseline,low,True,ng,prevalence,2034,0.011634453659733575
high,baseline,low,True,ng,prevalence,2035,0.01379565057833022
high,baseline,low,True,ng,prevalence,2036,0.014675039530660978
high,baseline,low,True,ng,prevalence,2037,0.01350198778117175
high,baseline,low,True,ng,prevalence,2038,0.0141701938798317
high,baseline,low,True,ng,prevalence,2039,0.014547836720025437
high,baseline,low,True,ng,prevalence,2040,0.01692118603703706
high,baseline,moderate,True,ng,prevalence,2027,0.015043206835251186
high,baseline,moderate,True,ng,prevalence,2028,0.012010148262375364
high,baseline,moderate,True,ng,prevalence,2029,0.011373340093898662
high,baseline,moderate,True,ng,prevalence,2030,0.01009122716890443
high,baseline,moderate,True,ng,prevalence,2031,0.00928181789637937
high,baseline,moderate,True,ng,prevalence,2032,0.009619411218800961
high,baseline,moderate,True,ng,prevalence,2033,0.009277556223006602
high,baseline,moderate,True,ng,prevalence,2034,0.009348690856709235
high,baseline,moderate,True,ng,prevalence,2035,0.009818228264991772
high,baseline,moderate,True,ng,prevalence,2036,0.010032998615132526
high,baseline,moderate,True,ng,prevalence,2037,0.01039725364963398
high,baseline,moderate,True,ng,prevalence,2038,0.010710263870430298
high,baseline,moderate,True,ng,prevalence,2039,0.010266484221282332
high,baseline,moderate,True,ng,prevalence,2040,0.011676940852109333
high,baseline,none,True,ng,prevalence,2027,0.016147432049506784
high,baseline,none,True,ng,prevalence,2028,0.015129767588126055
high,baseline,none,True,ng,prevalence,2029,0.01529884226271049
high,baseline,none,True,ng,prevalence,2030,0.014914002735492798
high,baseline,none,True,ng,prevalence,2031,0.014070314686842337
high,baseline,none,True,ng,prevalence,2032,0.015133085319969958
high,baseline,none,True,ng,prevalence,2033,0.013645930096432427
high,baseline,none,True,ng,prevalence,2034,0.014366325389555668
high,baseline,none,True,ng,prevalence,2035,0.01686043269475609
high,baseline,none,True,ng,prevalence,2036,0.01753551199728106
high,baseline,none,True,ng,prevalence,2037,0.016974767802714882
high,baseline,none,True,ng,prevalence,2038,0.017414642080159796
high,baseline,none,True,ng,prevalence,2039,0.017350309388881914
high,baseline,none,True,ng,prevalence,2040,0.02027046709998784
high,high,high,True,ng,prevalence,2027,0.01250657492296009
high,high,high,True,ng,prevalence,2028,0.005639018166312536
high,high,high,True,ng,prevalence,2029,0.002985192534520287
high,high,high,True,ng,prevalence,2030,0.0020809094235046993
high,high,high,True,ng,prevalence,2031,0.0014849570901497421
high,high,high,True,ng,prevalence,2032,0.0013771729967061784
high,high,high,True,ng,prevalence,2033,0.001712736931540349
high,high,high,True,ng,prevalence,2034,0.001784748851840106
high,high,high,True,ng,prevalence,2035,0.0010281424085765796
high,high,high,True,ng,prevalence,2036,0.0008165675440779353
high,high,high,True,ng,prevalence,2037,0.0008091039994285983
high,high,high,True,ng,prevalence,2038,0.0005902545057181014
high,high,high,True,ng,prevalence,2039,0.000385751964945097
high,high,high,True,ng,prevalence,2040,0.00038810570172935336
high,high,low,True,ng,prevalence,2027,0.01318255775349372
high,high,low,True,ng,prevalence,2028,0.007682747402939015
high,high,low,True,ng,prevalence,2029,0.004819616718747322
high,high,low,True,ng,prevalence,2030,0.003906574771731588
high,high,low,True,ng,prevalence,2031,0.0026041957156457
high,high,low,True,ng,prevalence,2032,0.002443224463022512
high,high,low,True,ng,prevalence,2033,0.0022104055841753196
high,high,low,True,ng,prevalence,2034,0.0023840594858380464
high,high,low,True,ng,prevalence,2035,0.002296969155918896
high,high,low,True,ng,prevalence,2036,0.0023700577959371175
high,high,low,True,ng,prevalence,2037,0.003019745633699075
high,high,low,True,ng,prevalence,2038,0.0026300183308149458
high,high,low,True,ng,prevalence,2039,0.001987411655079028
high,high,low,True,ng,prevalence,2040,0.0020762811861489232
high,high,moderate,True,ng,prevalence,2027,0.012835557632016034
high,high,moderate,True,ng,prevalence,2028,0.00680462181984042
high,high,moderate,True,ng,prevalence,2029,0.0033715262037420065
high,high,moderate,True,ng,prevalence,2030,0.00245237156300872
high,high,moderate,True,ng,prevalence,2031,0.001994308882737825
high,high,moderate,True,ng,prevalence,2032,0.0014611750972884155
high,high,moderate,True,ng,prevalence,2033,0.0017549824352105215
high,high,moderate,True,ng,prevalence,2034,0.0016430657834512693
high,high,moderate,True,ng,prevalence,2035,0.0012616633016659746
high,high,moderate,True,ng,prevalence,2036,0.0011405637005475222
high,high,moderate,True,ng,prevalence,2037,0.0013330255733746774
high,high,moderate,True,ng,prevalence,2038,0.0011351392714062812
high,high,moderate,True,ng,prevalence,2039,0.0010602460386835984
high,high,moderate,True,ng,prevalence,2040,0.0011522072824384725
high,high,none,True,ng,prevalence,2027,0.013851750895895487
high,high,none,True,ng,prevalence,2028,0.010057156306956316
high,high,none,True,ng,prevalence,2029,0.0071786862455055596
high,high,none,True,ng,prevalence,2030,0.005616069616262794
high,high,none,True,ng,prevalence,2031,0.0051636800806891
high,high,none,True,ng,prevalence,2032,0.0044742712709798585
high,high,none,True,ng,prevalence,2033,0.00436362017586279
high,high,none,True,ng,prevalence,2034,0.004537686537174462
high,high,none,True,ng,prevalence,2035,0.0040183831972824555
high,high,none,True,ng,prevalence,2036,0.003515142805613043
high,high,none,True,ng,prevalence,2037,0.003408589658687078
high,high,none,True,ng,prevalence,2038,0.0034083525456160163
high,high,none,True,ng,prevalence,2039,0.003012521655617652
high,high,none,True,ng,prevalence,2040,0.0037067158532454294
high,low,high,True,ng,prevalence,2027,0.014208264082239597
high,low,high,True,ng,prevalence,2028,0.010454638144044359
high,low,high,True,ng,prevalence,2029,0.0073904914217550275
high,low,high,True,ng,prevalence,2030,0.005137398183482255
high,low,high,True,ng,prevalence,2031,0.004394859034105334
high,low,high,True,ng,prevalence,2032,0.004236379804910884
high,low,high,True,ng,prevalence,2033,0.004186435998385597
high,low,high,True,ng,prevalence,2034,0.004229643799273911
high,low,high,True,ng,prevalence,2035,0.003471203209620091
high,low,high,True,ng,prevalence,2036,0.003959461601480573
high,low,high,True,ng,prevalence,2037,0.0042791147685125345
high,low,high,True,ng,prevalence,2038,0.003932416440018803
high,low,high,True,ng,prevalence,2039,0.0037716911703328136
high,low,high,True,ng,prevalence,2040,0.0045614886695085274
high,low,low,True,ng,prevalence,2027,0.015100097535883603
high,low,low,True,ng,prevalence,2028,0.012399243399691718
high,low,low,True,ng,prevalence,2029,0.011670981533968016
high,low,low,True,ng,prevalence,2030,0.010427842310749797
high,low,low,True,ng,prevalence,2031,0.009422486905770758
high,low,low,True,ng,prevalence,2032,0.008605253477007666
high,low,low,True,ng,prevalence,2033,0.008843727499333048
high,low,low,True,ng,prevalence,2034,0.008927960197668772
high,low,low,True,ng,prevalence,2035,0.009558089419099755
high,low,low,True,ng,prevalence,2036,0.009528932851245541
high,low,low,True,ng,prevalence,2037,0.00885043043094268
high,low,low,True,ng,prevalence,2038,0.010151644842644367
high,low,low,True,ng,prevalence,2039,0.010355507678409532
high,low,low,True,ng,prevalence,2040,0.012837165577362097
high,low,moderate,True,ng,prevalence,2027,0.014582342600446907
high,low,moderate,True,ng,prevalence,2028,0.011181287414363776
high,low,moderate,True,ng,prevalence,2029,0.008976399233964613
high,low,moderate,True,ng,prevalence,2030,0.007254938455321212
high,low,moderate,True,ng,prevalence,2031,0.006465062702249565
high,low,moderate,True,ng,prevalence,2032,0.006350800476262543
high,low,moderate,True,ng,prevalence,2033,0.0068438954893887865
high,low,moderate,True,ng,prevalence,2034,0.0070631819994262405
high,low,moderate,True,ng,prevalence,2035,0.007478880049459356
high,low,moderate,True,ng,prevalence,2036,0.0071702858423781535
high,low,moderate,True,ng,prevalence,2037,0.006561780697804717
high,low,moderate,True,ng,prevalence,2038,0.00719570669491987
high,low,moderate,True,ng,prevalence,2039,0.0068589208565190355
high,low,moderate,True,ng,prevalence,2040,0.007742333340004628
high,low,none,True,ng,prevalence,2027,0.015720076652774174
high,low,none,True,ng,prevalence,2028,0.014624996080778802
high,low,none,True,ng,prevalence,2029,0.0142541106064577
high,low,none,True,ng,prevalence,2030,0.013856188848419378
high,low,none,True,ng,prevalence,2031,0.012804780439131322
high,low,none,True,ng,prevalence,2032,0.01343446589083031
high,low,none,True,ng,prevalence,2033,0.012323161822497309
high,low,none,True,ng,prevalence,2034,0.01250685614315813
high,low,none,True,ng,prevalence,2035,0.014919231271441092
high,low,none,True,ng,prevalence,2036,0.01594598850528693
high,low,none,True,ng,prevalence,2037,0.015275513223968074
high,low,none,True,ng,prevalence,2038,0.015065795173811982
high,low,none,True,ng,prevalence,2039,0.015602421806585724
high,low,none,True,ng,prevalence,2040,0.018920032180270836
high,moderate,high,True,ng,prevalence,2027,0.013404124597566838
high,moderate,high,True,ng,prevalence,2028,0.00865041728482415
high,moderate,high,True,ng,prevalence,2029,0.005848249709719157
high,moderate,high,True,ng,prevalence,2030,0.004425211295162353
high,moderate,high,True,ng,prevalence,2031,0.003327367970910765
high,moderate,high,True,ng,prevalence,2032,0.0027288079637461868
high,moderate,high,True,ng,prevalence,2033,0.0026200934046651117
high,moderate,high,True,ng,prevalence,2034,0.0025500353105391517
high,moderate,high,True,ng,prevalence,2035,0.0022696688556446175
high,moderate,high,True,ng,prevalence,2036,0.002124415373677009
high,moderate,high,True,ng,prevalence,2037,0.0017584078313498523
high,moderate,high,True,ng,prevalence,2038,0.001694103598778429
high,moderate,high,True,ng,prevalence,2039,0.0015567223098724142
high,moderate,high,True,ng,prevalence,2040,0.0019740813704195617
high,moderate,low,True,ng,prevalence,2027,0.014272033780560453
high,moderate,low,True,ng,prevalence,2028,0.010575436861598805
high,moderate,low,True,ng,prevalence,2029,0.008939628179883112
high,moderate,low,True,ng,prevalence,2030,0.007386545670783234
high,moderate,low,True,ng,prevalence,2031,0.00574335802201046
high,moderate,low,True,ng,prevalence,2032,0.005008062839665773
high,moderate,low,True,ng,prevalence,2033,0.00500087685901361
high,moderate,low,True,ng,prevalence,2034,0.005351588815395253
high,moderate,low,True,ng,prevalence,2035,0.00585627758231319
high,moderate,low,True,ng,prevalence,2036,0.00520546972827602
high,moderate,low,True,ng,prevalence,2037,0.005078283356500851
high,moderate,low,True,ng,prevalence,2038,0.00515346397397589
high,moderate,low,True,ng,prevalence,2039,0.005322642333967127
high,moderate,low,True,ng,prevalence,2040,0.006905919199938176
high,moderate,moderate,True,ng,prevalence,2027,0.013796123370109246
high,moderate,moderate,True,ng,prevalence,2028,0.009553959376023996
