arm,seed,uid,t0_year,reinfected,months,src_cat
SOC,263003,24007,2037,True,2.0,f_other
SOC,263003,24020,2030,False,,none
SOC,263003,24035,2036,True,16.0,client
SOC,263003,24054,2036,True,18.0,client
SOC,263003,24074,2036,True,7.0,client
SOC,263003,24085,2034,True,17.0,fsw
SOC,263003,24087,2037,True,5.0,m_other
SOC,263003,24104,2037,True,1.0,client
SOC,263003,24115,2037,True,12.0,f_other
SOC,263003,24121,2036,True,19.0,m_other
SOC,263003,24122,2034,True,1.0,f_other
SOC,263003,24127,2037,True,13.0,client
SOC,263003,24133,2032,True,1.0,client
SOC,263003,24134,2035,True,3.0,client
SOC,263003,24149,2033,True,10.0,client
SOC,263003,24157,2037,True,13.0,fsw
SOC,263003,24158,2034,False,,none
SOC,263003,24161,2037,True,1.0,fsw
SOC,263003,24178,2036,True,12.0,client
SOC,263003,24184,2034,True,18.0,client
SOC,263003,24191,2035,False,,none
SOC,263003,24198,2037,True,10.0,client
SOC,263003,24217,2034,False,,none
SOC,263003,24221,2035,True,19.0,client
SOC,263003,24253,2033,True,19.0,m_other
SOC,263003,24259,2032,True,5.0,m_other
SOC,263003,24305,2037,False,,none
SOC,263003,24321,2037,True,14.0,client
SOC,263003,24354,2036,True,2.0,fsw
SOC,263003,24369,2035,True,1.0,m_other
SOC,263003,24371,2037,True,2.0,client
SOC,263003,24379,2037,False,,none
SOC,263003,24385,2035,True,1.0,client
SOC,263003,24390,2032,True,28.0,client
SOC,263003,24393,2035,True,13.0,fsw
SOC,263003,24422,2037,True,1.0,client
SOC,263003,24439,2036,True,11.0,fsw
SOC,263003,24441,2037,True,13.0,fsw
SOC,263003,24477,2034,True,13.0,f_other
SOC,263003,24481,2033,False,,none
SOC,263003,24509,2037,False,,none
SOC,263003,24510,2037,True,22.0,m_other
SOC,263003,24544,2037,True,9.0,client
SOC,263003,24560,2035,True,4.0,fsw
SOC,263003,24585,2037,True,17.0,m_other
SOC,263003,24597,2036,False,,none
SOC,263003,24617,2036,True,19.0,fsw
SOC,263003,24630,2035,False,,none
SOC,263003,24635,2037,True,3.0,m_other
SOC,263003,24667,2037,False,,none
SOC,263003,24702,2037,True,21.0,m_other
SOC,263003,24710,2032,True,2.0,client
SOC,263003,24750,2037,False,,none
SOC,263003,24753,2035,True,3.0,fsw
SOC,263003,24761,2036,False,,none
SOC,263003,24803,2037,True,1.0,m_other
SOC,263003,24853,2036,False,,none
SOC,263003,24886,2036,False,,none
SOC,263003,24949,2035,True,12.0,f_other
SOC,263003,24950,2036,True,2.0,m_other
SOC,263003,24971,2035,True,9.0,client
SOC,263003,24990,2037,True,1.0,m_other
SOC,263003,25019,2035,True,34.0,m_other
SOC,263003,25113,2037,True,4.0,client
SOC,263003,25120,2037,True,1.0,fsw
SOC,263003,25199,2036,True,30.0,m_other
SOC,263003,25308,2036,True,1.0,f_other
SOC,263003,25321,2037,False,,none
SOC,263003,25363,2036,True,3.0,m_other
SOC,263003,25395,2037,False,,none
SOC,263003,25431,2032,True,1.0,m_other
SOC,263003,25456,2033,True,1.0,client
SOC,263003,25499,2035,True,5.0,client
SOC,263003,25515,2037,True,5.0,fsw
SOC,263003,25563,2036,False,,none
SOC,263003,25739,2036,True,25.0,fsw
SOC,263003,25857,2037,False,,none
SOC,263003,25935,2037,True,1.0,fsw
SOC,263003,25973,2036,True,5.0,fsw
SOC,263003,26020,2036,True,1.0,client
SOC,263003,26113,2036,True,33.0,client
SOC,263003,26162,2037,True,21.0,client
SOC,263003,26408,2037,True,3.0,fsw
SOC,263003,26626,2037,False,,none
SOC,263003,27141,2037,True,21.0,client
SOC,263003,27195,2036,True,12.0,fsw
SOC,263003,27247,2036,False,,none
SOC,263003,29177,2037,True,2.0,client
SOC,263004,58,2033,False,,none
SOC,263004,68,2029,True,6.0,f_other
SOC,263004,118,2035,False,,none
SOC,263004,151,2029,True,30.0,f_other
SOC,263004,161,2029,True,14.0,f_other
SOC,263004,221,2029,True,20.0,f_other
SOC,263004,234,2035,False,,none
SOC,263004,478,2029,False,,none
SOC,263004,497,2033,False,,none
SOC,263004,510,2028,True,12.0,f_other
SOC,263004,557,2029,True,19.0,m_other
SOC,263004,748,2028,False,,none
SOC,263004,875,2037,True,2.0,f_other
SOC,263004,900,2028,False,,none
SOC,263004,911,2028,False,,none
SOC,263004,942,2028,True,3.0,f_other
SOC,263004,963,2029,True,2.0,fsw
SOC,263004,1004,2028,True,1.0,f_other
SOC,263004,1101,2029,False,,none
SOC,263004,1108,2029,True,16.0,f_other
SOC,263004,1135,2030,False,,none
SOC,263004,1147,2033,True,15.0,f_other
SOC,263004,1367,2028,True,19.0,f_other
SOC,263004,1368,2029,True,1.0,f_other
SOC,263004,1380,2028,True,19.0,m_other
SOC,263004,1495,2028,True,7.0,f_other
SOC,263004,1538,2030,False,,none
SOC,263004,1540,2029,True,2.0,f_other
SOC,263004,1544,2028,False,,none
SOC,263004,1653,2029,True,1.0,f_other
SOC,263004,1670,2033,False,,none
SOC,263004,1675,2029,True,3.0,m_other
SOC,263004,1692,2029,True,2.0,f_other
SOC,263004,1706,2028,True,2.0,f_other
SOC,263004,1802,2035,False,,none
SOC,263004,1835,2034,False,,none
SOC,263004,1890,2028,True,1.0,f_other
SOC,263004,1968,2028,True,3.0,f_other
SOC,263004,2032,2028,True,4.0,f_other
SOC,263004,2049,2029,True,8.0,f_other
SOC,263004,2200,2032,True,16.0,f_other
SOC,263004,2202,2031,False,,none
SOC,263004,2249,2028,False,,none
SOC,263004,2271,2030,False,,none
SOC,263004,2276,2029,True,16.0,f_other
SOC,263004,2326,2030,True,1.0,f_other
SOC,263004,2377,2031,False,,none
SOC,263004,2384,2034,False,,none
SOC,263004,2389,2028,True,8.0,f_other
SOC,263004,2399,2033,False,,none
SOC,263004,2407,2030,False,,none
SOC,263004,2413,2028,True,2.0,f_other
SOC,263004,2468,2032,False,,none
SOC,263004,2498,2028,True,3.0,f_other
SOC,263004,2531,2029,True,6.0,f_other
