ng_inf,ct_inf,tv_inf,syph_inf,hiv_inf,ng_tx,ct_tx,pn_notified,pn_attending,lbw,sga,svn,births,syph_congenital,syph_congenital_deaths,sweep,scen,draw_idx
0.0,3025.3338000000003,32417.889200000005,0.0,58.1962,4398.590400000001,4398.590400000001,1467.0654000000002,614.9688000000001,105.96920000000001,656.6616000000001,1017.1306000000001,5988.1284000000005,0.0,0.0,care_seeking,cs_x1.25,266
0.0,2910.6786,31267.8628,0.0,55.5904,4865.028600000001,4865.028600000001,1633.8366,644.5012000000002,99.02040000000001,647.9756000000001,997.1528000000002,5990.734200000001,0.0,0.0,care_seeking,cs_x1.5,266
0.0,2732.6156,30728.4622,0.0,44.2986,5731.8914,5731.8914,1915.2630000000001,768.7110000000002,97.28320000000001,643.6326000000001,995.4156000000002,5995.0772,0.0,0.0,care_seeking,cs_x2,266
0.0,3792.3076,33443.705799999996,0.0,70.3566,3840.9492000000005,3840.9492000000005,0.0,0.0,108.575,667.0848000000001,1044.0572000000002,5980.311,0.0,0.0,dx_x_pn,soc_none,266
0.0,3939.9696000000004,34913.37700000001,0.0,60.802,3935.6266,3935.6266,489.0218000000001,99.88900000000001,118.9982,664.479,1050.1374000000003,5982.9168,0.0,0.0,dx_x_pn,soc_low,266
0.0,3739.3230000000003,31855.905,0.0,72.9624,3957.3415999999997,3957.3415999999997,1372.3880000000001,538.532,283.1636000000001,822.5642000000003,1289.0023999999999,5951.6472,19.1092,0.0,dx_x_pn,soc_med,266
0.0,3271.1476000000002,29151.9532,0.0,76.4368,4133.6674,4133.6674,2456.4008000000003,1472.277,253.63120000000004,768.7110000000001,1161.3182000000002,5962.939,13.029,0.0,dx_x_pn,soc_high,266
,,,,,,,,,,,,,,,dx_x_pn,poc_none,266
,,,,,,,,,,,,,,,dx_x_pn,poc_low,266
,,,,,,,,,,,,,,,dx_x_pn,poc_med,266
,,,,,,,,,,,,,,,dx_x_pn,poc_high,266
5454.807999999999,1725.9082000000003,29437.7226,0.0,109.4436,3381.4597999999996,3381.4597999999996,0.0,0.0,110.3122,657.5302000000001,1037.1084,5891.7137999999995,0.0,0.0,baseline,baseline,714
5454.807999999999,1725.9082000000003,29437.7226,0.0,109.4436,3381.4597999999996,3381.4597999999996,0.0,0.0,110.3122,657.5302000000001,1037.1084,5891.7137999999995,0.0,0.0,pn_coverage,none,714
5915.166000000001,1859.6725999999999,28703.7556,0.0,115.5238,3427.4956,3427.4956,465.5696000000001,88.59720000000002,115.52380000000002,661.8732000000002,1052.7432000000001,5887.370800000001,0.0,0.0,pn_coverage,low,714
5406.1664,1827.5344000000002,28662.9314,0.0,110.31220000000002,3612.5074000000004,3612.5074000000004,1267.2874000000002,509.8682000000001,98.15180000000001,647.9756000000001,1011.9190000000001,5888.2394,0.0,0.0,pn_coverage,med,714
5216.811600000001,1341.987,26723.3476,0.0,127.6842,3907.8314,3907.8314,2378.2268000000004,1468.8026,83.38560000000001,643.6326000000001,993.6784000000001,5894.319600000001,0.0,0.0,pn_coverage,high,714
5406.1664,1827.5344000000002,28662.9314,0.0,110.31220000000002,3612.5074000000004,3612.5074000000004,1267.2874000000002,509.8682000000001,98.15180000000001,647.9756000000001,1011.9190000000001,5888.2394,0.0,0.0,care_seeking,cs_x1,714
5988.997,1335.9068000000002,28698.543999999998,0.0,125.07840000000002,4376.875400000001,4376.875400000001,1566.9544,630.6036000000001,224.96740000000005,754.8134000000001,1194.325,5850.8896,16.5034,0.0,care_seeking,cs_x1.25,714
5453.9394,1325.4836,27219.3182,0.0,111.1808,4638.324,4638.324,1697.2444,651.45,146.79340000000002,669.6906000000001,1040.5828000000001,5858.707,3.4744,0.0,care_seeking,cs_x1.5,714
5827.437400000001,791.2946000000001,26448.0014,0.0,116.39240000000001,5106.499400000001,5106.499400000001,1821.4542000000001,710.5148000000002,132.8958,669.6906000000001,1037.977,5876.079,3.4744,0.0,care_seeking,cs_x2,714
5454.807999999999,1725.9082000000003,29437.7226,0.0,109.4436,3381.4597999999996,3381.4597999999996,0.0,0.0,110.3122,657.5302000000001,1037.1084,5891.7137999999995,0.0,0.0,dx_x_pn,soc_none,714
5915.166000000001,1859.6725999999999,28703.7556,0.0,115.5238,3427.4956,3427.4956,465.5696000000001,88.59720000000002,115.52380000000002,661.8732000000002,1052.7432000000001,5887.370800000001,0.0,0.0,dx_x_pn,soc_low,714
5406.1664,1827.5344000000002,28662.9314,0.0,110.31220000000002,3612.5074000000004,3612.5074000000004,1267.2874000000002,509.8682000000001,98.15180000000001,647.9756000000001,1011.9190000000001,5888.2394,0.0,0.0,dx_x_pn,soc_med,714
5216.811600000001,1341.987,26723.3476,0.0,127.6842,3907.8314,3907.8314,2378.2268000000004,1468.8026,83.38560000000001,643.6326000000001,993.6784000000001,5894.319600000001,0.0,0.0,dx_x_pn,soc_high,714
,,,,,,,,,,,,,,,dx_x_pn,poc_none,714
,,,,,,,,,,,,,,,dx_x_pn,poc_low,714
,,,,,,,,,,,,,,,dx_x_pn,poc_med,714
,,,,,,,,,,,,,,,dx_x_pn,poc_high,714
4735.6072,2833.3732,19006.7052,0.0,115.5238,3058.3406,3058.3406,0.0,0.0,102.49480000000001,625.392,980.6494000000001,5771.847,0.0,0.0,baseline,baseline,414
4735.6072,2833.3732,19006.7052,0.0,115.5238,3058.3406,3058.3406,0.0,0.0,102.49480000000001,625.392,980.6494000000001,5771.847,0.0,0.0,pn_coverage,none,414
5124.74,2938.4737999999998,18846.8828,0.0,96.41460000000001,3221.6374000000005,3221.6374000000005,459.4894000000001,93.8088,109.4436,618.4432,974.5692000000001,5774.4528,0.0,0.0,pn_coverage,low,414
