draw_idx,hiv_prev_2010_2020,trep_f_2016,nontrep_f_2016,hiv_trep_ratio_2016,fsw_prev_2019,primary_share,secondary_share,early_lat_share,pf_2035_2040_ng,pf_2035_2040_ct,pf_2035_2040_tv,ni_2030_2040_ng,ni_2030_2040_ct,ni_2030_2040_tv,mae,n_fully_extinct,gof,retention_rank
232,0.0791467660981322,0.36177836260652124,0.22263072532297662,2.300665548058658,0.8106691300667197,0.527108276392297,0.3185146957181324,0.15437702788956903,0.015245943309548201,0.14272649695343181,0.25569046295482,81115.9,131609.25,501135.95,4.453612889837155,0,4.453612889837155,267
233,0.14682870143852922,0.29257723345450704,0.1417012583034338,4.2568681115723965,0.6645582462317828,0.566130796433823,0.2911170059182818,0.14275219764789399,0.07318529625190741,0.0037063700346604,0.0,280766.4,3353.85,0.0,3.536774043156368,1,103.53677404315637,422
234,0.1409758222721932,0.0,0.0,,0.0,0.0,0.0,0.0,0.1478442945901466,0.17090956173028843,0.0016370844912206,626215.85,150363.55,2792.7,1.5685620217696248,1,101.56856202176962,341
235,0.14707772637324182,0.11622203845897101,0.0692904726143744,2.496376469775156,0.27259016393442626,0.20370203485114602,0.1283052618790082,0.0679927032698456,0.0193665489924734,0.19600454688241722,0.3488968038254382,99541.05,169758.75,725346.55,1.4992541975588562,0,1.4992541975588562,36
236,0.10720272561321101,0.067205028622962,0.021175432113937,3.803041302714484,0.09519838987924081,0.1243188877831054,0.19001688832594463,0.08566422389094941,0.0003081820217888,0.21623841477935063,0.1078096744404776,3091.4,187282.0,177081.25,0.6682674596425368,0,0.6682674596425368,5
237,0.047125574187746,0.1495995720607636,0.060995959467749605,1.0641456113089187,0.3100789313904066,0.1625272490482062,0.16457094578540782,0.0729018051663854,0.0494775683885718,0.26302817810284085,0.0,245487.9,254580.85,0.0,1.9381603179330398,1,101.93816031793304,350
238,0.1322272289833894,0.311045169778017,0.1751589440332592,3.3987390463927363,0.6891596677875544,0.5136333373432455,0.3287632756819298,0.15760338697482362,0.12284300512714821,0.06792636296415801,0.0017097878104652003,503930.1,60527.35,2644.8,4.288636932226686,0,4.288636932226686,254
239,0.1120560073470908,0.27364186810100083,0.17643337365137363,3.5188974602362117,0.6137814380987965,0.569739493138886,0.28673879095830246,0.14352171590281043,0.0858764194722956,0.26519069338587864,0.0929135923607218,388398.45,250538.25,163091.65,3.896532042724824,0,3.896532042724824,213
240,0.11604958701360461,0.0900195667258256,0.038396872810552,5.044305689070789,0.10740899663877541,0.175581219145363,0.1532209431661328,0.07119783768850381,0.0017474551901330002,0.2907069743318028,0.25039784155875766,8308.5,264881.65,471135.45,1.1830808246691713,0,1.1830808246691713,24
241,0.14614294221851903,0.13590511544368084,0.080350808888152,2.6770462120924705,0.313904109589041,0.18010718883992782,0.1474985889105092,0.0723942222495624,0.13202541195764023,0.0164735165768832,0.10461630943787041,531742.55,15493.25,165938.0,2.4556559369356625,0,2.4556559369356625,95
242,0.013069784049233802,0.060410431808465004,0.0336041043180846,0.910858086011458,0.12875,0.12100332426715021,0.050831066787549006,0.028165608945300603,0.00027878315339900005,0.22613100362273544,0.0206540382655162,1371.7,202541.8,34934.85,1.087941352538066,0,1.087941352538066,19
243,0.0129209509852336,0.3710865571264074,0.16440620639359121,1.8396072479107033,0.7191194699298172,0.4926754983529492,0.3347018394290908,0.1726226622179586,0.0684989277293444,0.036730736927006805,0.0097644064082574,305004.6,36023.8,16450.25,4.328439457776257,0,4.328439457776257,258
244,0.123901360303416,0.2654778148971012,0.13332210181559884,4.078847060090038,0.682115325751689,0.5555771284981649,0.2896948684281754,0.15472800307365842,0.019055717099061405,0.10377432596926442,0.0,83717.2,82561.55,5.8,2.763731636179024,1,102.76373163617902,381
245,0.026408441698073402,0.29326236170258224,0.10549434811592,2.2135182420410633,0.6293232287605507,0.4887644881909158,0.3418009405043642,0.16943457130471823,0.05562020979173281,0.18721246186391644,0.0,256826.9,170741.85,0.0,3.040157497561406,1,103.04015749756141,398
246,0.055824621530985205,0.303557313148039,0.16598347826620602,2.697420102429853,0.6120960077466092,0.4921561173089576,0.34591062479828666,0.1619332578927548,0.043799382660491604,0.016275422907518603,0.0,180526.45,14376.75,0.0,3.7269899568170763,1,103.72698995681708,434
247,0.06149431441844261,0.3675966810098278,0.1701602141670104,2.2512090734646573,0.6896994488254234,0.4545845398540286,0.3664966226075108,0.17891883753845902,0.07801282660617001,0.2057266723904446,0.3370431707599412,380733.75,212219.1,803755.3,4.437162301335092,0,4.437162301335092,266
248,0.12376640731479101,0.34317049898526963,0.24231224692777564,3.1736081853392455,0.6540891222598535,0.4899190142451066,0.3353617528569494,0.17471923289794242,0.06637201619592921,0.25567084830184406,0.21372333203578603,288716.75,235104.45,384400.8,4.931700102374736,0,4.931700102374736,296
249,0.1397541418733916,0.34769438303153005,0.22695127577744043,3.652805550711424,0.6397912514376543,0.45052951264379343,0.3711863635387408,0.1782841238174646,0.0116686384064732,0.0028538525075176005,0.37267459727899804,54567.85,3226.25,744299.5,4.594764182692369,0,4.594764182692369,275
250,0.12636089318833038,0.06775510204081621,0.033877551020408,3.340275189549398,0.136,0.10449333746513781,0.0653548187170746,0.030151843817787405,0.053452118446897,0.24879573098781443,8.305118393056678e-05,229994.65,225438.75,172.55,1.0794760632404037,1,101.0794760632404,321
251,0.09756780225233061,0.2938547894480684,0.1303261880861958,3.2256088562207177,0.677035881839194,0.5680576622715059,0.28372972200841023,0.14821261572008262,0.013136372544716602,0.22238675997737922,0.34576786168065743,65342.8,203010.15,743378.75,3.1371055831038737,0,3.1371055831038737,149
252,0.054164484394930004,0.2806423739767716,0.1477761434977258,1.6517458510588647,0.47560555119770365,0.42402826808818306,0.25048487828991384,0.125486853621902,0.10097201151300801,0.11140804518335182,0.0,454838.9,104485.55,0.0,3.729234568453523,1,103.72923456845352,435
253,0.11967336339207361,0.2255629529353264,0.1445959314383812,4.190874334838993,0.4701457859122648,0.6393164938638612,0.23630749213244479,0.1243760140036928,0.1573118548669064,0.0,5.7878388880433366e-05,642829.95,20.3,131.95,3.8738102285562612,2,203.87381022855627,499
254,0.092549261260696,0.1900531350889662,0.12438967863326802,3.2606579315421484,0.38900915788748863,0.3790230209565409,0.1479922455983504,0.07298473344510821,0.11401664003321581,0.031218133368929202,0.0,471814.05,29081.2,0.0,3.1031671349770216,1,103.10316713497703,402
255,0.0784493602195008,0.3161223536526904,0.16359175785988103,2.5392047142378225,0.6598043781118879,0.5162212354391053,0.31557347115850504,0.1682052934023884,0.046425089234406004,0.26231726457037186,0.0093296359771932,205540.4,241678.75,14805.95,3.806247357979034,0,3.806247357979034,206
256,0.06832893917654101,0.401097499942668,0.1724494679526582,2.098312354208719,0.7977034721120484,0.49120597908483205,0.3440832645625952,0.16471075635257162,0.045797156133094,0.17583904920949162,0.037731487993947196,210729.95,156178.05,58462.55,4.257233562338753,0,4.257233562338753,247
257,0.1101028746878456,0.1259436384274498,0.07993139347745201,5.057777459788109,0.23960883256880883,0.20415953500428322,0.2744184553647892,0.12142200963092682,0.14418327924848443,0.0,0.3522204611945236,636376.0,0.0,784099.1,2.6642437893128967,1,102.66424378931289,375
