draw_idx,hiv_prev_15_49_2010_2020,trep_f_2016,nontrep_f_2016,hiv_trep_ratio_2016,fsw_prev_2019,primary_share,secondary_share,early_lat_share,pf_2035_2040_ng,pf_2035_2040_ct,pf_2035_2040_tv,ni_2030_2040_ng,ni_2030_2040_ct,ni_2030_2040_tv,mae,n_fully_extinct,gof,retention_rank
363,0.21421744059110753,0.3129513261910936,0.15696882963044073,4.244478950312359,0.6692128937503753,0.4959749453602097,0.33919497909654633,0.16483007554324397,0.13858487109816733,0.21725213157843898,0.04886409534496323,611604.2,201390.5,88777.7,4.343466824042902,0,4.343466824042902,256
364,0.22665401031486548,0.3308363291606048,0.18583618217995498,3.9978941430425614,0.6624852683855847,0.48486543658260073,0.33673475550349913,0.1783998079139001,0.07644953577333552,0.16134648242534905,0.0,305529.5,133698.7,0.0,4.231859578697875,1,104.23185957869788,455
365,0.1295804043401746,0.1921139717953934,0.1035271822627311,2.1355396776669475,0.3859732396155312,0.2914781166960744,0.2027894373580899,0.10573244594583571,0.10935295562923679,0.14224974844193064,0.006324684266829225,469289.6,128343.85,10687.95,2.724555780213851,0,2.724555780213851,110
366,0.1851049622938868,0.2650772459519207,0.15744228839585298,3.4325269793966378,0.5938386599975922,0.36471707648874935,0.29847325750994375,0.1368096660013069,0.11518233960777575,0.08967514997380349,0.0049576553938172,491448.5,82112.05,7774.9,3.784444078318387,0,3.784444078318387,205
367,0.23055908585803603,0.2803378327830277,0.18801603865252847,5.103867879936196,0.6397974396112198,0.33411627029158825,0.4592310489529735,0.20665268075543822,0.14564555187503106,0.0,0.2591814533028305,619948.95,0.0,492269.2,4.758075512552656,1,104.75807551255265,472
368,0.22822360540626185,0.15294590798995328,0.10775401646898086,4.339726406141308,0.30385663950486475,0.31109881150982377,0.19316649064160465,0.09573469784857161,0.0,0.22740257136839367,0.0,0.0,181209.4,0.0,2.2335165122545413,2,202.23351651225454,498
369,0.20698993202105398,0.3134632134351124,0.14748376018532872,3.7396562254418106,0.6349226330972987,0.5853384907466967,0.269736636985604,0.14492487226769926,0.11377489290541791,0.20913608622051538,0.0,482520.85,186236.55,0.0,4.048376275286261,1,104.04837627528626,446
370,0.19302152686794288,0.33762111339647616,0.2513877476404797,3.2367819702968923,0.7694167216217233,0.5133279016524525,0.31794927416352026,0.16872282418402726,0.13532202054425327,0.06029939553103143,0.32073917516636935,593509.65,57647.65,681510.15,5.576063804788605,0,5.576063804788605,310
371,0.1627573961149971,0.2927432300703635,0.16738894536863405,3.311266947372,0.6025933502204945,0.5832387653082914,0.27010262724816536,0.1466586074435432,0.14699451806054556,0.02888666157495563,0.0,617333.15,25821.6,0.0,4.385679478907371,1,104.38567947890738,459
372,0.20825400394912755,0.05311551287411329,0.01874829338789076,2.152676746669039,0.125,0.12396694214876033,0.04920534011443102,0.02682771773680865,0.0344903202070714,0.007339620292317575,0.3050317460340407,149133.95,6700.45,582762.25,0.848773318032415,0,0.848773318032415,8
373,0.11615420195859498,0.3290527062480894,0.12965408361552105,2.5151234982560258,0.6258451048749076,0.627928241674743,0.24356450988449296,0.12850724844076394,0.05638953878349863,0.18530019389658592,0.001271058473439786,269035.9,174487.2,2322.9,3.3853391386006284,0,3.3853391386006284,173
