hiv.beta_m2f,log_syph.beta_m2f,syph.time_to_undetectable,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m1_conc,structuredsexual.dur_sw
0.046456490059638075,-1.078083446897393,11.121799909410063,-2.61116509414454,-2.4466452115493063,-1.8586123951166624,0.551387666107558,0.2059014476861381,5.2692557454740605
0.02508676121312113,-2.2836503569090443,16.002017087000127,-2.5156428852422263,-3.257357323089426,-2.0768483746552295,0.7358720602375894,0.07006205560752995,13.1755090239477
0.048412189885275514,-2.1285328905253107,18.306357934847796,-2.5313133532612913,-3.3275678097023462,-2.645572493563483,0.784719201419327,0.28370982092019614,10.053808766210365
0.010546354204951635,-1.2440429096831334,25.784712268645215,-2.5463402737639336,-2.4284637387299854,-2.6044469375577135,0.6463554044210286,0.22890253318168002,9.77032784046468
0.046039447179381444,-2.1460782075796963,25.765295670471104,-2.708496464917788,-2.854050381721969,-2.128452318347877,0.8893289986017766,0.20673724196718712,3.9562578932619434
0.027047592560084342,-1.774822268547565,13.69300702568691,-2.584400832788316,-2.870722477945884,-2.500024234176802,0.5848359662528918,0.2174031695798308,10.984031935674448
0.007776035182390556,-1.448888941117226,15.289380132165777,-2.48507035011312,-2.819580319231513,-2.1368325036035785,0.7849823157903979,0.1752827050362119,13.188453996623668
0.025162701962263962,-1.9365469113805385,14.337742995889148,-2.634221613689961,-2.3115549198562464,-2.748727361003525,0.7687453919703127,0.05127127845464169,6.721295148357846
0.02553981375377664,-1.1829545918806394,23.113300857179674,-2.6218332330776035,-3.0998299491080346,-2.7450614152196264,0.786396496308901,0.15309242701956183,6.495439861270562
0.04641659596988905,-1.5401439175104183,29.872638817013087,-2.6183205727719177,-2.1667586469925366,-1.913844838233923,0.5946789211412793,0.14777104855045586,9.919568687871031
0.03331130407978125,-1.580075594624228,14.996728363990778,-2.541116873315116,-3.4065928415875124,-1.8547636711422077,0.8170079989705392,0.10382631141315714,7.415638716612354
0.043361220128596584,-1.6347619364465449,27.267705952910795,-2.8774465783870022,-2.909414022485943,-1.9227425046672586,0.8680788141221074,0.22345249349544233,13.957358797208064
0.020559535675264758,-1.1881539305660715,21.49187905819967,-2.690581982594814,-3.0502561311150216,-2.0507630921030167,0.6453288452992848,0.06587594526875006,4.774167902965
0.04874286336560079,-2.045815509599492,28.264527381711925,-2.931725065622107,-3.200604853567811,-2.745587582331633,0.5589841287143796,0.12132863754237985,10.103547670583925
0.007537675592568861,-1.485020861327762,18.509112087549124,-2.779181619828438,-3.2211340935265156,-2.6883308509196637,0.6100924480812732,0.159931870585534,6.371030267595185
0.036122500571964526,-1.1911799394071527,14.885298050587885,-2.646607708529295,-3.0386375948803765,-2.158412142079226,0.6712456879993948,0.1405373616890139,13.894917776471258
0.03580359217726228,-1.88152860978092,23.6556019344281,-2.6072548150759105,-2.5652334482527746,-2.272450731492838,0.7669975197031491,0.10677532403614945,8.632589936440313
0.049664706423837454,-1.2882079794420427,26.767221679996165,-2.7824013816643305,-3.133804069123417,-1.9759967910525875,0.8697148568514537,0.2395124054363546,9.142654897085894
0.03545867190287427,-1.5409291628646526,11.426614660800443,-2.6735305316808695,-2.2473529923075555,-2.422959222949113,0.840301833027407,0.07760512363319497,8.89116252606879
0.03237748259612192,-1.2172168330233062,29.510756584103245,-2.5233714843023654,-3.110812051195581,-2.870439654640382,0.5509743348858467,0.11051404779676058,4.462967848947345
0.02509673772993573,-2.002357719011259,22.230727850424906,-2.816600684084915,-2.5735889153750344,-2.5094739403922093,0.8218268786771123,0.23238530448080108,6.8559438632028264
0.04711879924544891,-1.8773171412854894,10.539798701611625,-2.9962932560139035,-3.490410965373945,-2.7560112934377585,0.5830584980609016,0.06762086877492407,8.278763919168707
0.04037040865685977,-1.2095194722438405,29.66380094274497,-2.6058399491200936,-2.9830145045475778,-2.233724499749652,0.6552569732430932,0.2867761978560189,9.832799020728517
0.04498963424251105,-1.1325335305194777,18.189293135481222,-3.033657029211997,-3.211735657955129,-1.8352939596098667,0.6695224656072561,0.05365102974804383,2.6001154374795785
0.040320683102334456,-1.7029320003646466,17.823027785993084,-2.535830790912941,-3.5583391065060703,-2.1525937644627824,0.815114154913211,0.05381785602433108,13.135833121513077
0.02438398867142454,-2.2340681863396785,26.882439304897517,-2.8351061828149655,-2.62046467389043,-1.9669481463553884,0.850822283459819,0.2331378576352462,3.138109781469457
